,0,1,2,3,4,5,location,area,classification,salary
2221,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"24d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2222,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Uniform Group (Auckland) Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
2223,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Piritahi,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2224,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Wellfit-Wstar,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
2225,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Adecco Office,location: CanterburyCanterburyarea: ChristchurchChristchurch,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2226,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"20d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
2227,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Recruitment Studio,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive hourly rate depending on experience","28d ago,at",Competitive hourly rate depending on experience,AucklandAuckland," Auckland CentralAuckland Central,Competitive hourly rate depending on experience",Competitive hourly rate depending on experience,
2228,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Metro Recruitment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
2229,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,GBL Personnel,location: WellingtonWellington,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2230,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Stonewood Group Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
2231,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
2232,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2233,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2234,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=ba3f1d2f-ab16-453d-8730-2221b8946399,Graham Consulting,location: AucklandAucklandarea: Auckland CentralAuckland Central,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2235,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=29c37b2e-163d-4663-967b-e6ffc7b4a5c2,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2236,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=29c37b2e-163d-4663-967b-e6ffc7b4a5c2,Robert Walters,"location: WellingtonWellington,Attractive remuneration","26d ago,at",Attractive remuneration,"WellingtonWellington,Attractive remuneration",,Attractive remuneration,
2237,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=29c37b2e-163d-4663-967b-e6ffc7b4a5c2,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","14d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
2238,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=29c37b2e-163d-4663-967b-e6ffc7b4a5c2,Stellar Recruitment,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,WaikatoWaikato, Rest of WaikatoRest of Waikato, Administration & Office SupportAdministration & Office SupportsubClassification: Records Management & Document ControlRecords Management & Document Control,
2239,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=29c37b2e-163d-4663-967b-e6ffc7b4a5c2,Hays Talent Solutions,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
2240,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=29c37b2e-163d-4663-967b-e6ffc7b4a5c2,one eighty recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,Competitive hourly rate","27d ago,at",Competitive hourly rate,WellingtonWellington," Wellington CentralWellington Central,Competitive hourly rate",Competitive hourly rate,
2241,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=29c37b2e-163d-4663-967b-e6ffc7b4a5c2,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","20d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
2242,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=29c37b2e-163d-4663-967b-e6ffc7b4a5c2,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","28d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
2243,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=29c37b2e-163d-4663-967b-e6ffc7b4a5c2,Alpha Recruitment - NZ,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
2244,Register Your Cv With Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=6e62d401-885d-4b9f-9f22-72973a7928b7,Personnel Resources/Temp Resources,location: Bay of PlentyBay of Plentyarea: RotoruaRotorua,"24d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,Bay of PlentyBay of Plenty, RotoruaRotorua, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
2245,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=6e62d401-885d-4b9f-9f22-72973a7928b7,X4 Construction,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,NorthlandNorthland, Rest of NorthlandRest of Northland, Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,
