,job_name,job_link,post_date,area,location,classification,sub_classification,salary
2570,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-19,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2571,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2572,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2573,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-20,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
2574,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-27,Auckland Central,Auckland,Administration & Office Support,Other,
2575,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-19,Auckland Central,Auckland,,,
2576,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Receptionists,
2577,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-19,,Wellington,Administration & Office Support,Administrative Assistants,
2578,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-19,Wellington Central,Wellington,Administration & Office Support,Receptionists,
2579,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-19,Christchurch,Canterbury,Administration & Office Support,Office Management,
2580,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-22,,Wellington,Administration & Office Support,Administrative Assistants,
2581,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2582,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=611a9c3f-b8f3-4cde-8123-3c7e95b97ffd,2023-04-26,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2583,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=b96205ab-a689-4539-91a8-6f6f06b0e794,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2584,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=b96205ab-a689-4539-91a8-6f6f06b0e794,2023-04-21,,Wellington,,,
2585,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=b96205ab-a689-4539-91a8-6f6f06b0e794,2023-05-03,Hamilton,Waikato,,,
2586,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=b96205ab-a689-4539-91a8-6f6f06b0e794,2023-04-20,Rest of Waikato,Waikato,Administration & Office Support,Records Management & Document Control,
2587,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=b96205ab-a689-4539-91a8-6f6f06b0e794,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2588,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=b96205ab-a689-4539-91a8-6f6f06b0e794,2023-04-20,Wellington Central,Wellington,,,
2589,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=b96205ab-a689-4539-91a8-6f6f06b0e794,2023-04-27,Hamilton,Waikato,,,
2590,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=b96205ab-a689-4539-91a8-6f6f06b0e794,2023-04-19,Hamilton,Waikato,,,
2591,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=b96205ab-a689-4539-91a8-6f6f06b0e794,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2592,Register Your Cv With Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-23,Rotorua,Bay of Plenty,Administration & Office Support,Administrative Assistants,
2593,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-20,Rest of Northland,Northland,Administration & Office Support,Contracts Administration,
2594,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-22,Rest of Manawatu,Manawatu,Administration & Office Support,Client & Sales Administration,
2595,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-05-13,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2596,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-05-10,Hamilton,Waikato,,,
2597,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-17,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2598,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-23,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2599,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-19,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2600,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2601,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2602,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-20,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
2603,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-27,Auckland Central,Auckland,Administration & Office Support,Other,
2604,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-19,Auckland Central,Auckland,,,
2605,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Receptionists,
2606,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-19,,Wellington,Administration & Office Support,Administrative Assistants,
2607,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-19,Wellington Central,Wellington,Administration & Office Support,Receptionists,
2608,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-19,Christchurch,Canterbury,Administration & Office Support,Office Management,
2609,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-22,,Wellington,Administration & Office Support,Administrative Assistants,
2610,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2611,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=c435ec70-d43b-4871-9f91-2e28700c12f7,2023-04-26,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2612,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=0435c0f0-e9e8-4c74-bbbe-4218e881f23a,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2613,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=0435c0f0-e9e8-4c74-bbbe-4218e881f23a,2023-04-21,,Wellington,,,
2614,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=0435c0f0-e9e8-4c74-bbbe-4218e881f23a,2023-05-03,Hamilton,Waikato,,,
2615,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=0435c0f0-e9e8-4c74-bbbe-4218e881f23a,2023-04-20,Rest of Waikato,Waikato,Administration & Office Support,Records Management & Document Control,
2616,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=0435c0f0-e9e8-4c74-bbbe-4218e881f23a,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2617,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=0435c0f0-e9e8-4c74-bbbe-4218e881f23a,2023-04-20,Wellington Central,Wellington,,,
2618,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=0435c0f0-e9e8-4c74-bbbe-4218e881f23a,2023-04-27,Hamilton,Waikato,,,
2619,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=0435c0f0-e9e8-4c74-bbbe-4218e881f23a,2023-04-19,Hamilton,Waikato,,,
2620,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=0435c0f0-e9e8-4c74-bbbe-4218e881f23a,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2621,Register Your Cv With Personnel Resources / Temp Resources,https://www.seek.co.nz/job/50512721?type=standard#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-23,Rotorua,Bay of Plenty,Administration & Office Support,Administrative Assistants,
2622,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-20,Rest of Northland,Northland,Administration & Office Support,Contracts Administration,
2623,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-22,Rest of Manawatu,Manawatu,Administration & Office Support,Client & Sales Administration,
2624,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-05-13,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2625,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-05-10,Hamilton,Waikato,,,
2626,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-17,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2627,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-23,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2628,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-19,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2629,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2630,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
2631,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-20,Christchurch,Canterbury,Administration & Office Support,Administrative Assistants,
2632,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-27,Auckland Central,Auckland,Administration & Office Support,Other,
2633,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-19,Auckland Central,Auckland,,,
2634,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Receptionists,
2635,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-19,,Wellington,Administration & Office Support,Administrative Assistants,
2636,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-19,Wellington Central,Wellington,Administration & Office Support,Receptionists,
2637,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-19,Christchurch,Canterbury,Administration & Office Support,Office Management,
2638,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-22,,Wellington,Administration & Office Support,Administrative Assistants,
2639,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2640,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=6c877c52-c503-4c2f-a557-328b5ad87a84,2023-04-26,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
2641,Senior Executive Assistant,https://www.seek.co.nz/job/50494425?type=standard#searchRequestToken=1d946929-6126-4604-add9-755268ad8a18,2023-04-21,,Wellington,Administration & Office Support,"PA, EA & Secretarial",
2642,Executive Assistant,https://www.seek.co.nz/job/50494228?type=standout#searchRequestToken=1d946929-6126-4604-add9-755268ad8a18,2023-04-21,,Wellington,,,
2643,Temporary Office Roles,https://www.seek.co.nz/job/50556279?type=standout#searchRequestToken=1d946929-6126-4604-add9-755268ad8a18,2023-05-03,Hamilton,Waikato,,,
2644,Document Controller - Waikeria,https://www.seek.co.nz/job/50486421?type=standard#searchRequestToken=1d946929-6126-4604-add9-755268ad8a18,2023-04-20,Rest of Waikato,Waikato,Administration & Office Support,Records Management & Document Control,
2645,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=1d946929-6126-4604-add9-755268ad8a18,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
